人民币	人民币 ￥
小点儿声	小点儿声 🤫
小声点	小声点 🤫
小声点儿	小声点儿 🤫
别说话	别说话 🤫
深思的脸	深思的脸 🤔
深思	深思 🤔
思考	思考 🤔
奇怪	奇怪 🤔
奇怪了	奇怪了 🤔
想一想	想一想 🤔
想想	想想 🤔
我想想	我想想 🤔
我再想想	我再想想 🤔
容我三思	容我三思 🤔
呃	呃 🤔
疑问	疑问 🤔
可能	可能 🤔
不理解	不理解 🤔
不明白	不明白 🤔
疑惑	疑惑 🤔
敬礼	敬礼 🫡
致敬	致敬 🫡
尊敬	尊敬 🫡
尊重	尊重 🫡
瑞思拜	瑞思拜 🫡
respect	respect 🫡
闭嘴	闭嘴 🤐
秘密	秘密 🤐 ㊙️
保密	保密 🤐
守密	守密 🤐
不说	不说 🤐 🙊
不能说	不能说 🤐
不要说	不要说 🤐
拉上拉链	拉上拉链 🤐
封口	封口 🤐
禁言	禁言 🤐
挑眉	挑眉 🤨
眉毛上挑	眉毛上挑 🤨
眉毛上挑的脸	眉毛上挑的脸 🤨
平静	平静 😐
面无表情	面无表情 😑
没嘴	没嘴 😶
没有嘴	没有嘴 😶
没有嘴巴	没有嘴巴 😶
沉默	沉默 😶
隐形	隐形 🫥
隐藏	隐藏 🫥
虚线脸	虚线脸 🫥
虚线轮廓	虚线轮廓 🫥
云中	云中 😶‍🌫️
云中的脸	云中的脸 😶‍🌫️
得意	得意 😏
得意地笑	得意地笑 😏
郁闷	郁闷 😒
鄙视	鄙视 😒
白眼	白眼 🙄
白眼儿	白眼儿 🙄
翻白眼	翻白眼 🙄
翻白眼儿	翻白眼儿 🙄
咬牙切齿	咬牙切齿 😬
龇牙咧嘴	龇牙咧嘴 😬
龇牙	龇牙 😬
咬牙	咬牙 😬
呼气	呼气 😮‍💨 🫁
叹气	叹气 😮‍💨
唉	唉 😮‍💨
无奈	无奈 😮‍💨
长鼻子	长鼻子 🤥
长鼻	长鼻 🤥
匹诺曹	匹诺曹 🤥
说谎	说谎 🤥
撒谎	撒谎 🤥
乱讲	乱讲 🤥
胡说	胡说 🤥
骗子	骗子 🤥
骗人	骗人 🤥
骗人布	骗人布 🤥
乌索普	乌索普 🤥
晃脑	晃脑 🫨
摇头晃脑	摇头晃脑 🫨
颤抖的脸	颤抖的脸 🫨
猛摇头	猛摇头 🫨
甩头	甩头 🫨
如释重负	如释重负 😌
松口气	松口气 😌
松了口气	松了口气 😌
松了一口气	松了一口气 😌
释然	释然 😌
低头忧伤	低头忧伤 😔
心事重重	心事重重 😔
忧虑	忧虑 😔
忧伤	忧伤 😔
困	困 😪 🥱
困困	困困 😪
困了	困了 😪 🥱
困倦	困倦 😪 🥱
困乏	困乏 😪
瞌睡	瞌睡 😪
打瞌睡	打瞌睡 😪
口水	口水 🤤
流口水	流口水 🤤
垂涎三尺	垂涎三尺 🤤
睡觉	睡觉 😴 💤 🛌
睡着	睡着 😴 💤
睡着了	睡着了 😴 💤
睡了	睡了 😴 💤
睡眠	睡眠 😴 💤
口罩	口罩 😷
戴口罩	戴口罩 😷
感冒	感冒 😷 🤧
生病	生病 😷
体温计	体温计 🤒
量体温	量体温 🤒
发烧	发烧 🤒
受伤	受伤 🤕 ❤️‍🩹
负伤	负伤 🤕
绷带	绷带 🤕
缠绷带	缠绷带 🤕
缠满绷带	缠满绷带 🤕
恶心	恶心 🤢
想吐	想吐 🤢
反胃	反胃 🤢
吐	吐 🤮
吐了	吐了 🤮
呕吐	呕吐 🤮
吐出来	吐出来 🤮
喷嚏	喷嚏 🤧
打喷嚏	打喷嚏 🤧
鼻涕	鼻涕 🤧
擤鼻涕	擤鼻涕 🤧
擤鼻子	擤鼻子 🤧
鼻炎	鼻炎 🤧
热	热 🥵
很热	很热 🥵
好热	好热 🥵
发热	发热 🥵
脸发烧	脸发烧 🥵
辣	辣 🥵
辣死	辣死 🥵
辣死了	辣死了 🥵
超辣	超辣 🥵
超级辣	超级辣 🥵
热死	热死 🥵
热死了	热死了 🥵
爆辣	爆辣 🥵
冷	冷 🥶
很冷	很冷 🥶
冰冷	冰冷 🥶
好冷	好冷 🥶
冷冰冰	冷冰冰 🥶
冷脸	冷脸 🥶
冻僵	冻僵 🥶
冻僵了	冻僵了 🥶
满面寒霜	满面寒霜 🥶
冷死	冷死 🥶
冷死了	冷死了 🥶
冻死	冻死 🥶
冻死了	冻死了 🥶
微醺	微醺 🥴
醉了	醉了 🥴
喝醉	喝醉 🥴
喝醉了	喝醉了 🥴
喝多	喝多 🥴
喝多了	喝多了 🥴
昏昏沉沉	昏昏沉沉 🥴
酒醉	酒醉 🥴
晕	晕 😵 😵‍💫
晕了	晕了 😵 😵‍💫
我晕	我晕 😵 😵‍💫
头晕	头晕 😵 😵‍💫
晕头	晕头 😵 😵‍💫
头晕目眩	头晕目眩 😵 😵‍💫 💫
晕头转向	晕头转向 😵 😵‍💫
头晕眼花	头晕眼花 😵 😵‍💫
爆炸头	爆炸头 🤯
爆炸脑	爆炸脑 🤯
头爆炸	头爆炸 🤯
脑子爆炸	脑子爆炸 🤯
脑袋爆炸	脑袋爆炸 🤯
脑爆炸	脑爆炸 🤯
大脑爆炸	大脑爆炸 🤯
爆头	爆头 🤯
牛仔	牛仔 🤠
牛仔帽	牛仔帽 🤠
牛仔帽脸	牛仔帽脸 🤠
派对	派对 🥳 🎉
派对脸	派对脸 🥳
庆祝	庆祝 🥳 🎉
开趴	开趴 🥳
开淫趴	开淫趴 🥳
开银趴	开银趴 🥳
party	party 🥳
开party	开party 🥳
伪装	伪装 🥸
伪装的脸	伪装的脸 🥸
隐瞒身份	隐瞒身份 🥸
太阳镜	太阳镜 😎 🕶
墨镜	墨镜 😎 🕶
墨镜笑脸	墨镜笑脸 😎
自信	自信 😎
书呆子	书呆子 🤓
书呆子脸	书呆子脸 🤓
单片眼镜	单片眼镜 🧐
带单片眼镜的脸	带单片眼镜的脸 🧐
探究	探究 🧐
研究	研究 🧐
困扰	困扰 😕
不屑	不屑 😕
撇嘴	撇嘴 🫤
不确定	不确定 🫤
担心	担心 😟
担忧	担忧 😟
不开心	不开心 🙁
不高兴	不高兴 🙁
不满	不满 🙁
微微不满	微微不满 🙁
心情不好	心情不好 🙁
不悦	不悦 🙁
一脸不悦	一脸不悦 🙁
吃惊	吃惊 😮 😯 😲 😦 😧
惊讶	惊讶 😮 😯 😲 😦 😧
哦	哦 😮
好奇	好奇 😯
震惊	震惊 😲 😦 😧
啊	啊 😲 😦 😧
害羞	害羞 😳
羞涩	羞涩 😳
愣住	愣住 😳
可怜	可怜 🥺
可怜兮兮	可怜兮兮 🥺
好嘛	好嘛 🥺
求你了	求你了 🥺 🙏
求求你	求求你 🥺 🙏
求求你了	求求你了 🥺 🙏
忍住泪水	忍住泪水 🥹
强忍泪水	强忍泪水 🥹
要哭了	要哭了 🥹
含泪	含泪 🥹
委屈	委屈 🥹
目瞪口呆	目瞪口呆 😦
怕	怕 😨 😱
可怕	可怕 😨 😱
害怕	害怕 😨 😱
恐惧	恐惧 😨 😱
焦虑	焦虑 😰 😩
冒汗焦虑	冒汗焦虑 😰
紧张	紧张 😰
失望但如释重负	失望但如释重负 😥
难过但释然	难过但释然 😥
哭	哭 😢 😭
哭了	哭了 😢 😭
哭泣	哭泣 😢 😭
流泪	流泪 😢 😭
流眼泪	流眼泪 😢 😭
大哭	大哭 😭
放声大哭	放声大哭 😭
痛哭	痛哭 😭
吓死	吓死 😱
吓死了	吓死了 😱
吓人	吓人 😱
尖叫	尖叫 😱
恐怖	恐怖 😱
恐惧尖叫	恐惧尖叫 😱
惊声尖叫	惊声尖叫 😱
焦头烂额	焦头烂额 😖
纠结	纠结 😖
忍耐	忍耐 😣
失望	失望 😞
难过	难过 😞
倒霉	倒霉 😓
疲倦	疲倦 😩
疲劳	疲劳 😩
疲惫	疲惫 😩
焦躁	焦躁 😩
抓狂	抓狂 😫
呵欠	呵欠 🥱
哈欠	哈欠 🥱
打哈欠	打哈欠 🥱
打呵欠	打呵欠 🥱
傲慢	傲慢 😤
趾高气昂	趾高气昂 😤
鼻子冒气	鼻子冒气 😤
哼	哼 😤
哼哼	哼哼 😤
怒	怒 😡 😠 💢
愤怒	愤怒 😡 😠 💢
生气	生气 😡 😠 💢
气人	气人 😡 😠
angry	angry 😡 😠 💢
发火	发火 😡
发飙	发飙 😡
怒火中烧	怒火中烧 😡
烦死	烦死 😡
烦死人	烦死人 😡
烦死了	烦死了 😡
烦死啦	烦死啦 😡
微怒	微怒 😠
骂人	骂人 🤬
咒骂	咒骂 🤬
脏话	脏话 🤬
说脏话	说脏话 🤬
你妈死了	你妈死了 🤬
NMSL	NMSL 🤬
肏你妈	肏你妈 🤬
操你妈	操你妈 🤬
傻逼	傻逼 🤬
出口成脏	出口成脏 🤬
恶魔	恶魔 😈 👿
魔鬼	魔鬼 😈 👿
微笑恶魔	微笑恶魔 😈
恶魔微笑	恶魔微笑 😈
微笑的恶魔	微笑的恶魔 😈
生气恶魔	生气恶魔 👿
恶魔生气	恶魔生气 👿
生气的恶魔	生气的恶魔 👿
头骨	头骨 💀 ☠️
骷髅	骷髅 💀 ☠️
骷髅头	骷髅头 💀 ☠️
死亡	死亡 💀 ☠️
屎	屎 💩
拉屎	拉屎 💩
大便	大便 💩
拉大便	拉大便 💩
便便	便便 💩
拉便便	拉便便 💩
粑粑	粑粑 💩
拉粑粑	拉粑粑 💩
小丑	小丑 🤡
小丑脸	小丑脸 🤡
怪物	怪物 👹
妖怪	妖怪 👺
鬼	鬼 👻
鬼魂	鬼魂 👻
幽灵	幽灵 👻
外星人	外星人 👽
怪兽	怪兽 👾
异形怪兽	异形怪兽 👾
外星怪物	外星怪物 👾
机器人	机器人 🤖
开心猫	开心猫 😺
开心的猫	开心的猫 😺
开心猫脸	开心猫脸 😺
微笑猫	微笑猫 😸
微笑的猫	微笑的猫 😸
微笑猫脸	微笑猫脸 😸
笑中带泪	笑中带泪 😹
喜极而泣	喜极而泣 😹
笑出眼泪的猫	笑出眼泪的猫 😹
花痴猫	花痴猫 😻
花痴的猫	花痴的猫 😻
花痴猫脸	花痴猫脸 😻
得意猫	得意猫 😼
得意的猫	得意的猫 😼
得意猫脸	得意猫脸 😼
亲亲猫	亲亲猫 😽
亲亲的猫	亲亲的猫 😽
亲亲猫脸	亲亲猫脸 😽
恐惧猫	恐惧猫 🙀
恐惧的猫	恐惧的猫 🙀
恐惧猫脸	恐惧猫脸 🙀
害怕猫	害怕猫 🙀
害怕的猫	害怕的猫 🙀
害怕猫脸	害怕猫脸 🙀
哭泣猫	哭泣猫 😿
哭泣的猫	哭泣的猫 😿
哭泣猫脸	哭泣猫脸 😿
生气猫	生气猫 😾
生气的猫	生气的猫 😾
生气猫脸	生气猫脸 😾
噘嘴猫	噘嘴猫 😾
噘嘴的猫	噘嘴的猫 😾
噘嘴猫脸	噘嘴猫脸 😾
非礼勿视	非礼勿视 🙈
不看	不看 🙈
蒙眼	蒙眼 🙈
蒙眼睛	蒙眼睛 🙈
蒙住眼睛	蒙住眼睛 🙈
我不看	我不看 🙈
非礼勿听	非礼勿听 🙉
不听	不听 🙉
堵耳	堵耳 🙉
堵耳朵	堵耳朵 🙉
堵上耳朵	堵上耳朵 🙉
堵住耳朵	堵住耳朵 🙉
堵着耳朵	堵着耳朵 🙉
捂耳	捂耳 🙉
捂耳朵	捂耳朵 🙉
捂上耳朵	捂上耳朵 🙉
捂住耳朵	捂住耳朵 🙉
捂着耳朵	捂着耳朵 🙉
我不听	我不听 🙉
非礼勿言	非礼勿言 🙊
情书	情书 💌
一箭穿心	一箭穿心 💘
丘比特	丘比特 💘
心中箭了	心中箭了 💘
爱的礼物	爱的礼物 💝
系有缎带的心	系有缎带的心 💝
饰以丝带的心	饰以丝带的心 💝
送你一颗心	送你一颗心 💝
闪亮的心	闪亮的心 💖
爱心	爱心 💖 ♥️
膨胀的心	膨胀的心 💗
膨胀的爱心	膨胀的爱心 💗
搏动的心	搏动的心 💗
心动	心动 💓
心跳	心跳 💓
爱情	爱情 💓 💕 👩‍❤️‍👨
love	love 💓 💕 👩‍❤️‍👨 ♥️
旋转的心	旋转的心 💞
舞动的心	舞动的心 💞
心连心	心连心 💞
两颗心	两颗心 💕
粉色的心	粉色的心 💕 🩷
心形	心形 💟 ♥️
心形装饰	心形装饰 💟
心叹号	心叹号 ❣️
伤心	伤心 💔
心碎	心碎 💔
失恋	失恋 💔
火上之心	火上之心 ❤️‍🔥
心火	心火 ❤️‍🔥
燃烧的心	燃烧的心 ❤️‍🔥
心在燃烧	心在燃烧 ❤️‍🔥
心在着火	心在着火 ❤️‍🔥
爱火	爱火 ❤️‍🔥
修复受伤的心灵	修复受伤的心灵 ❤️‍🩹
治愈的心	治愈的心 ❤️‍🩹
受伤的心	受伤的心 ❤️‍🩹
受伤的心灵	受伤的心灵 ❤️‍🩹
心伤	心伤 ❤️‍🩹
粉心	粉心 🩷
粉色心	粉色心 🩷
粉红心	粉红心 🩷
橙心	橙心 🧡
橙色心	橙色心 🧡
橙色的心	橙色的心 🧡
橘心	橘心 🧡
橘色心	橘色心 🧡
橘色的心	橘色的心 🧡
黄心	黄心 💛
黄色心	黄色心 💛
黄色的心	黄色的心 💛
绿心	绿心 💚
绿色心	绿色心 💚
绿色的心	绿色的心 💚
蓝心	蓝心 💙 🩵
蓝色心	蓝色心 💙 🩵
蓝色的心	蓝色的心 💙 🩵
淡蓝心	淡蓝心 🩵
淡蓝色心	淡蓝色心 🩵
淡蓝色的心	淡蓝色的心 🩵
紫心	紫心 💜
紫色心	紫色心 💜
紫色的心	紫色的心 💜
棕心	棕心 🤎
棕色心	棕色心 🤎
棕色的心	棕色的心 🤎
黑心	黑心 🖤
黑色心	黑色心 🖤
黑色的心	黑色的心 🖤
灰心	灰心 🩶
灰色心	灰色心 🩶
灰色的心	灰色的心 🩶
白心	白心 🤍
白色心	白色心 🤍
白色的心	白色的心 🤍
亲	亲 💋
吻	吻 💋
亲吻	亲吻 💋
亲嘴	亲嘴 💋
唇	唇 💋 👄
唇印	唇印 💋
红唇	红唇 💋 👄
吻痕	吻痕 💋
kiss	kiss 💋
么么	么么 💋
么么哒	么么哒 💋
一百	一百 💯
一百分	一百分 💯
满分	满分 💯
火大	火大 💢
青筋	青筋 💢
生气符号	生气符号 💢
爆炸	爆炸 💥
水珠	水珠 💦 💧
水滴	水滴 💦 💧
阵风	阵风 💨
坑	坑 🕳
洞	洞 🕳
下水道	下水道 🕳
对话气泡	对话气泡 💬 🗨 🗯
对话框	对话框 💬 🗨 🗯 💭
证人	证人 👁️‍🗨️
我是证人	我是证人 👁️‍🗨️
朝左的对话气泡	朝左的对话气泡 🗨
愤怒对话气泡	愤怒对话气泡 🗯
愤怒对话框	愤怒对话框 🗯
思考气泡	思考气泡 💭
内心活动气泡	内心活动气泡 💭
睡眠符号	睡眠符号 💤
ZZZ	ZZZ 💤
挥手	挥手 👋
摆手	摆手 👋
你好	你好 👋
再见	再见 👋
拜拜	拜拜 👋
手背	手背 🤚
手指张开	手指张开 🖐
手指张开的手	手指张开的手 🖐
举起的手	举起的手 ✋
手掌	手掌 ✋
击掌	击掌 ✋
手	手 ✋
瓦肯举手礼	瓦肯举手礼 🖖
瓦肯	瓦肯 🖖
斯波克	斯波克 🖖
星际迷航	星际迷航 🖖
右手	右手 🫱 🫸
向右的手	向右的手 🫱
向右伸的手	向右伸的手 🫱
朝右	朝右 🫱
左手	左手 🫲 🫷
向左的手	向左的手 🫲
向左伸的手	向左伸的手 🫲
朝左	朝左 🫲
手掌朝下	手掌朝下 🫳
掌心朝下	掌心朝下 🫳
朝下	朝下 🫳
放手	放手 🫳
手掌朝上	手掌朝上 🫴
掌心朝上	掌心朝上 🫴
朝上	朝上 🫴
伸手	伸手 🫴
抬起	抬起 🫴
左推	左推 🫷
向左推	向左推 🫷
推手	推手 🫷 🫸
向左推手	向左推手 🫷
向左推的手	向左推的手 🫷
右推	右推 🫸
向右推	向右推 🫸
向右推手	向右推手 🫸
向右推的手	向右推的手 🫸
OK	OK 👌 🙆‍♂️ 🙆‍♀️ 🆗
好	好 👌 🙆‍♂️ 🙆‍♀️
好的	好的 👌 🙆‍♂️ 🙆‍♀️
好哒	好哒 👌
没问题	没问题 👌
手指捏和	手指捏和 🤌
捏合	捏合 🤌
兰花指	兰花指 🤌
捏手指	捏手指 🤌
手指	手指 🤌
一点	一点 🤏 🕐
一点儿	一点儿 🤏
一点点	一点点 🤏
少量	少量 🤏
少许	少许 🤏
和平手势	和平手势 ✌️
耶	耶 ✌️
哦耶	哦耶 ✌️
成功	成功 ✌️
胜利	胜利 ✌️
赢了	赢了 ✌️
剪刀手	剪刀手 ✌️
赢啦	赢啦 ✌️
赢咯	赢咯 ✌️
两个	两个 ✌️
第二	第二 ✌️
手指交叉	手指交叉 🤞
交叉的手指	交叉的手指 🤞
食指和拇指交叉的手	食指和拇指交叉的手 🫰
响指	响指 🫰
打响指	打响指 🫰
比心	比心 🫰 🫶
比心手势	比心手势 🫰 🫶
爱你手势	爱你手势 🤟
爱你的手势	爱你的手势 🤟
爱你	爱你 🤟
我爱你	我爱你 🤟
摇滚	摇滚 🤘
摇滚手势	摇滚手势 🤘
金属礼	金属礼 🤘
打电话	打电话 🤙
回电话	回电话 🤙
打给我	打给我 🤙
给我打电话	给我打电话 🤙
打电话给我	打电话给我 🤙
六六六	六六六 🤙
反手食指向左指	反手食指向左指 👈
向左指	向左指 👈
向左	向左 👈
往左	往左 👈
往左指	往左指 👈
左面	左面 👈
左边	左边 👈
反手食指向右指	反手食指向右指 👉
向右指	向右指 👉
向右	向右 👉
往右	往右 👉
往右指	往右指 👉
右面	右面 👉
右边	右边 👉
反手食指向上指	反手食指向上指 👆
向上指	向上指 👆
向上	向上 👆
往上	往上 👆
往上指	往上指 👆
上面	上面 👆
上边	上边 👆
反手食指向下指	反手食指向下指 👇
向下指	向下指 👇
向下	向下 👇
往下	往下 👇
往下指	往下指 👇
下面	下面 👇
下边	下边 👇
中指	中指 🖕
竖中指	竖中指 🖕
比中指	比中指 🖕
举中指	举中指 🖕
食指	食指 ☝️
一个	一个 ☝️
第一	第一 ☝️
食指指向观察者	食指指向观察者 🫵
指向观察者的食指	指向观察者的食指 🫵
你自己	你自己 🫵
就是你	就是你 🫵
指着	指着 🫵
指着你	指着你 🫵
指你	指你 🫵
指我	指我 🫵
指人	指人 🫵
拇指	拇指 👍 👎
大拇指	大拇指 👍 👎
大拇指向上	大拇指向上 👍
拇指向上	拇指向上 👍 👎
大拇指朝上	大拇指朝上 👍
拇指朝上	拇指朝上 👍
强	强 👍
好强	好强 👍
棒	棒 👍
棒啊	棒啊 👍
真棒	真棒 👍
好棒	好棒 👍
很棒	很棒 👍
特棒	特棒 👍
非常棒	非常棒 👍
棒棒	棒棒 👍
棒棒的	棒棒的 👍
棒棒哒	棒棒哒 👍
太棒	太棒 👍
太棒了	太棒了 👍
太棒啦	太棒啦 👍
干得好	干得好 👍
很好	很好 👍
不错	不错 👍
表扬	表扬 👍
牛逼	牛逼 👍
厉害	厉害 👍
赞	赞 👍
点赞	点赞 👍
绝了	绝了 👍
大拇指向下	大拇指向下 👎
大拇指朝下	大拇指朝下 👎
拇指朝下	拇指朝下 👎
不好	不好 👎
不强	不强 👎
不棒	不棒 👎
太差	太差 👎
太差了	太差了 👎
太差啦	太差啦 👎
差劲	差劲 👎
举起拳头	举起拳头 ✊
举起的拳头	举起的拳头 ✊
握拳	握拳 ✊
握紧的拳头	握紧的拳头 👊
拳头	拳头 👊
出拳	出拳 👊
打击	打击 👊
重拳出击	重拳出击 👊
打你	打你 👊
揍你	揍你 👊
干你	干你 👊
左向拳	左向拳 🤛
朝左的拳头	朝左的拳头 🤛
右钩拳	右钩拳 🤛
右拳	右拳 🤛
右向拳	右向拳 🤜
朝右的拳头	朝右的拳头 🤜
左钩拳	左钩拳 🤜
左拳	左拳 🤜
鼓掌	鼓掌 👏
拍手	拍手 👏
拍掌	拍掌 👏
啪啪啪	啪啪啪 👏
扬手欢呼	扬手欢呼 🙌
举双手	举双手 🙌
做成心形的双手	做成心形的双手 🫶
双手张开	双手张开 👐
张开双手	张开双手 👐
双手手掌向上	双手手掌向上 🤲
掌心向上托起	掌心向上托起 🤲
双手	双手 🤲
捧着	捧着 🤲
握手	握手 🤝
合作	合作 🤝
合作愉快	合作愉快 🤝
搞定	搞定 🤝
双手合十	双手合十 🙏
合十	合十 🙏
合掌	合掌 🙏
拜托	拜托 🙏
祈求	祈求 🙏
祈祷	祈祷 🙏
感谢	感谢 🙏
谢谢	谢谢 🙏
超度	超度 🙏
阿弥陀佛	阿弥陀佛 🙏
写字	写字 ✍️
手写	手写 ✍️
指甲油	指甲油 💅
涂指甲油	涂指甲油 💅
美甲	美甲 💅
做指甲	做指甲 💅
做美甲	做美甲 💅
自拍	自拍 🤳
二头肌	二头肌 💪
肱二头肌	肱二头肌 💪
肱二头	肱二头 💪
强壮	强壮 💪
肌肉	肌肉 💪
秀肌肉	秀肌肉 💪
健身	健身 💪
加油	加油 💪 ⛽
奋斗	奋斗 💪
努力	努力 💪
义肢	义肢 🦾 🦿
义体	义体 🦾 🦿
赛博朋克	赛博朋克 🦾 🦿
机械手臂	机械手臂 🦾
机械臂	机械臂 🦾
机械腿	机械腿 🦿
腿	腿 🦵
腿儿	腿儿 🦵
大腿	大腿 🦵
练腿	练腿 🦵
脚	脚 🦶
足	足 🦶
踢	踢 🦶
踩	踩 🦶
脚丫	脚丫 🦶
脚丫子	脚丫子 🦶
听	听 👂
耳	耳 👂
耳朵	耳朵 👂
助听器	助听器 🦻
听力障碍	听力障碍 🦻
戴助听器的耳朵	戴助听器的耳朵 🦻
嗅	嗅 👃
闻	闻 👃
鼻	鼻 👃
鼻子	鼻子 👃
呼吸	呼吸 👃
大脑	大脑 🧠
头脑	头脑 🧠
脑花	脑花 🧠
脑子	脑子 🧠
脑	脑 🧠
心脏	心脏 🫀
心脏器官	心脏器官 🫀
肺	肺 🫁
吸气	吸气 🫁
呼吸作用	呼吸作用 🫁
牙	牙 🦷
牙齿	牙齿 🦷
牙牙	牙牙 🦷
骨头	骨头 🦴
骨骼	骨骼 🦴
眼	眼 👀 👁
眼睛	眼睛 👀 👁
注视	注视 👀
观察	观察 👀
看	看 👀
看看	看看 👀
单眼	单眼 👁
一只眼	一只眼 👁
一只眼睛	一只眼睛 👁
瞳孔	瞳孔 👁
舌	舌 👅
舌头	舌头 👅
口	口 👄
嘴	嘴 👄
嘴唇	嘴唇 👄
嘴巴	嘴巴 👄
咬嘴唇	咬嘴唇 🫦
咬住嘴唇	咬住嘴唇 🫦
调情	调情 🫦
情调	情调 🫦
诱惑	诱惑 🫦
婴儿	婴儿 👶 🚼
宝宝	宝宝 👶 🚼
小宝贝	小宝贝 👶
小宝贝儿	小宝贝儿 👶
baby	baby 👶 🚼
乖宝	乖宝 👶
乖宝宝	乖宝宝 👶
儿童	儿童 🧒
小孩	小孩 🧒
小孩儿	小孩儿 🧒
孩子	孩子 🧒
小孩子	小孩子 🧒
小朋友	小朋友 🧒
小盆友	小盆友 🧒
男孩	男孩 👦
小男孩	小男孩 👦
儿子	儿子 👦
女孩	女孩 👧
小女孩	小女孩 👧
女儿	女儿 👧
金发	金发 👱 👱‍♀️ 👱‍♂️
金色头发	金色头发 👱 👱‍♀️ 👱‍♂️
金发女	金发女 👱 👱‍♀️
金发女子	金发女子 👱 👱‍♀️
金发女人	金发女人 👱 👱‍♀️
男人	男人 👨
成年男人	成年男人 👨
成年男性	成年男性 👨
爸爸	爸爸 👨
