一月	一月 Jan. January
三个户	三个户 𢩕
三个瓜	三个瓜 𤬑
三个鸟	三个鸟 𪉓
三个米	三个米 𥼬
四个乂	四个乂 㸚
四个人	四个人 𠈌
四个厶	四个厶 𠫬
四个又	四个又 叕
四个匕	四个匕 𣬅
四个工	四个工 㠭
四个口	四个口 㗊
四个天	四个天 𡚌
四个小	四个小 𡮐
四个屮	四个屮 茻
四个火	四个火 燚
四个牛	四个牛 𤛭
四个魚	四个魚 䲜
四个月	四个月 朤
四个日	四个日 𣊫
四个曰	四个曰 𣊭
四个林	四个林 𣡽
四个水	四个水 㵘
四个石	四个石 𥗉
四个田	四个田 𤳳
四个甲	四个甲 𤳵
四个且	四个且 𠁠
四个囚	四个囚 𡈶
四个困	四个困 𡈹
四个竹	四个竹 𥷹
四个老	四个老 𦓋
四个朿	四个朿 𣡍
四个先	四个先 𠓙
四个金	四个金 𨰻
四个泉	四个泉 𤆁
四个言	四个言 𧮦
四个門	四个門 𨷾
四个果	四个果 𣡾
四个春	四个春 𣌠
四个車	四个車 𨏿
四个風	四个風 𩙡
四个雷	四个雷 䨻
四个雲	四个雲 𩇔
四个興	四个興 𠔻
四个龍	四个龍 𪚥
四个土	四个土 㙓
男女男	男女男 嬲
女男女	女男女 嫐
Rime	Rime 㞢
中州韵	中州韵 Rime
鼠须管	鼠须管 Squirrel
小狼毫	小狼毫 Weasel
仓输入法	仓输入法 Hamster
平方	平方 ²
平方厘米	平方厘米 cm²
平方分米	平方分米 dm²
平方米	平方米 m²
立方	立方 ³
立方厘米	立方厘米 cm³
立方分米	立方分米 dm³
立方米	立方米 m³
度	度 °
摄氏度	摄氏度 °C
华氏度	华氏度 °F
点	点 ·
间隔号	间隔号 ·
连接号	连接号 —
连接符	连接符 —
连字符	连字符 －
Apple	Apple 
反问号	反问号 ¿
约等于	约等于 ≈
约等	约等 ≈
约等号	约等号 ≈
不等于	不等于 ≠
不等号	不等号 ≠
大于	大于 > ≥
大于号	大于号 > ≥
小于	小于 < ≤
小于号	小于号 < ≤
小于等于	小于等于 ≤
小于等于号	小于等于号 ≤
大于等于	大于等于 ≥
大于等于号	大于等于号 ≥
根号	根号 √
正负号	正负号 ±
正负	正负 ±
百分号	百分号 %
百分之	百分之 %
千分号	千分号 ‰
千分之	千分之 ‰
万分号	万分号 ‱
万分之	万分之 ‱
纳粹	纳粹 卐
无穷大	无穷大 ∞
无穷大符号	无穷大符号 ∞
正无穷	正无穷 +∞
负无穷	负无穷 -∞
圆周率	圆周率 π
进击的巨人	进击的巨人 進撃の巨人
中央电视台	中央电视台 装垫儿台
Geralt	Geralt 杰洛特
杰洛特	杰洛特 Geralt
灭霸	灭霸 Thanos
Thanos	Thanos 灭霸
皮卡丘	皮卡丘 Pikachu
Pikachu	Pikachu 皮卡丘
Pokemon	Pokemon Pokémon
德尔塔	德尔塔 Delta
Delta	Delta 德尔塔
奥密克戎	奥密克戎 Omicron
Omicron	Omicron 奥密克戎
恭喜发财	恭喜发财 恭喜發財
人上人	人上人 仌
二百	二百 皕
两百	两百 皕
英寸	英寸 吋
星巴克	星巴克 Starbucks
毫秒	毫秒 ms millisecond
微秒	微秒 μs microsecond
纳秒	纳秒 ns nanosecond
掀桌子	掀桌子 (╯'-')╯︵┻━┻ (╯°Д°)╯︵┻━┻
摆桌子	摆桌子 ┬─┬ノ('-'ノ)
车马炮	车马炮 車马炮
出车	出车 出車
安卓	安卓 Android
反引号	反引号 `
阿尔法粒子	阿尔法粒子 α粒子
阿尔法射线	阿尔法射线 α射线
贝塔粒子	贝塔粒子 β粒子
贝塔射线	贝塔射线 β射线
伽马刀	伽马刀 γ刀
伽马射线	伽马射线 γ射线
